School/College	KH Degree Type	KiltHub Degree Name	ProQuest Degree Awarded	PQ DISS_degree
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in History	Ph.D
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in Logic, Computation and Methodology	Ph.D. LCM
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in Neural Computation & Machine Learning	Ph.D
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in Neural Computation & Robotics	Ph.D
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in Neural Computation and Statistics	Ph.D
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in Philosophy	Ph.D
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in Pure and Applied Logic	Ph.D. PAL
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in Statistics	Ph.D
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in Statistics / Engineering & Public Policy	Ph.D
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in Statistics / Machine Learning	Ph.D
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in Statistics / Neural Computation	Ph.D
DC	Dissertation	Doctor of Philosophy (PhD)	PhD in Statistics / Public Policy	Ph.D
DC	Master's Thesis	Master of Arts (MA)	Master of Arts in Philosophy	M.A.
DC	Master's Thesis	Master of Arts (MA)	Master of Science in Logic, Computation, and Methodology	M.S. LCM
				
Heinz	Master's Thesis	Master of Arts Management (MAM)	Master of Arts Management	M.A.M.
Heinz	Master's Thesis	Master of Information Systems Management (MISM)	Master of Informations Systems Management	MISM
Heinz	Master's Thesis	Master of Science in Information Security Policy and Management (MSISPM)		
Heinz	Master's Thesis	Master of Science in Information Technology (MSIT)		
Heinz	Master's Thesis	Master of Science in Public Policy and Management (MSPPM)		
Heinz	Master's Thesis	Master of Arts (MA)	Master of Entertainment Industry Management	MEIM
Heinz	Master's Thesis	Master of Arts (MA)	Master of Public Management	M.P.M.
				
SCS	Master's Thesis	Master of Language Technologies	Master of Language Technologies	M.L.T
SCS	Master's Thesis	Master of Arts (MA)	Master of Science in Information Security	M.S.I.S
				
Tepper	Master's Thesis	Master of Arts (MA)	Master of Business Administration	M.B.A.
Tepper	Master's Thesis	Master of Arts (MA)	Master of Innovation Product Development	M.I.I.P.S
				
		Master of Product Development (MPD)		
		Master of Statistical Practice (MSP) 		
